id,name,team,position,byeWeek,injuryStatus,points,adp
250,Brandon Aiyuk,SF,WR,9,NA,62.4,250
251,Tyler Johnson,LAR,WR,6,NA,61.1,251
252,Josh Whyle,TEN,TE,5,NA,60.8,252
253,Tyler Huntley,MIA,QB,6,NA,60.7,253
254,Grant Calcaterra,PHI,TE,5,NA,59.8,254
255,Dawson Knox,BUF,TE,12,NA,59.1,255
256,Andy Dalton,CAR,QB,11,NA,59.0,256
257,Ezekiel Elliott,DAL,RB,7,NA,57.5,257
258,Luke Schoonmaker,DAL,TE,7,NA,57.1,258
259,Isiah Pacheco,KC,RB,6,NA,56.9,259
260,Kalif Raymond,DET,WR,5,NA,56.5,260
261,Tommy Tremble,CAR,TE,11,NA,56.4,261
262,Dare Ogunbowale,HOU,RB,14,NA,56.0,262
263,John Metchie,HOU,WR,14,NA,55.4,263
264,Malik Washington,MIA,WR,6,NA,54.8,264
265,Emari Demercado,ARI,RB,11,NA,54.7,265
266,Gabriel Davis,JAX,WR,12,NA,53.9,266
267,Trey Sermon,IND,RB,14,NA,53.8,267
268,Adonai Mitchell,IND,WR,14,NA,53.8,268
269,JuJu Smith-Schuster,KC,WR,6,NA,53.1,269
270,Jordan Whittington,LAR,WR,6,NA,52.5,270
271,Malik Willis,GB,QB,10,NA,51.8,271
272,Cedrick Wilson Jr.,NO,WR,12,NA,49.9,272
273,Elijah Higgins,ARI,TE,11,NA,49.2,273
274,Nelson Agholor,BAL,WR,14,NA,49.1,274
275,Audric Estime,DEN,RB,14,NA,48.7,275
276,Nick Vannett,TEN,TE,5,NA,48.5,276
277,Christian McCaffrey,SF,RB,9,NA,47.8,277
278,DJ Turner,LV,WR,10,NA,47.1,278
279,Trey Benson,ARI,RB,11,NA,47.0,279
280,Isaiah Davis,NYJ,RB,12,NA,45.9,280
281,Marcus Mariota,WAS,QB,14,NA,45.8,281
282,Johnny Mundt,MIN,TE,6,NA,45.2,282
283,Jacoby Brissett,NE,QB,14,NA,45.2,283
284,Darnell Washington,PIT,TE,9,NA,45.0,284
285,Tyler Goodson,IND,RB,14,NA,44.4,285
286,Michael Penix,ATL,QB,12,NA,44.1,286
287,Adam Trautman,DEN,TE,14,NA,43.8,287
288,Dameon Pierce,HOU,RB,14,NA,43.5,288
289,Nate Adkins,DEN,TE,14,NA,43.5,289
290,Chris Brooks,GB,RB,10,NA,42.2,290
291,Jahan Dotson,PHI,WR,5,NA,41.9,291
292,Derius Davis,LAC,WR,5,NA,40.1,292
293,Tanner Hudson,CIN,TE,12,NA,38.5,293
294,Robert Woods,HOU,WR,14,NA,38.3,294
295,Cordarrelle Patterson,PIT,RB,9,NA,37.5,295
296,Jamaal Williams,NO,RB,12,NA,37.1,296
297,Ryan Miller,TB,WR,11,NA,36.8,297
298,Michael Mayer,LV,TE,10,NA,36.6,298
299,Drew Sample,CIN,TE,12,NA,36.5,299
300,Tylan Wallace,BAL,WR,14,NA,36.3,300
